section,right_left,subsection,front_back,strip_number,segment_id,x,y,z,led_number,arc_strip_num,arc_length
heart,left,,back,1,heart-left--back-01,-8.67,-473.99,5439.85,0,,
heart,left,,back,1,heart-left--back-01,-11.256791,-456.486844,5468.099941,1,,
heart,left,,back,1,heart-left--back-01,-13.843583,-438.983688,5496.349881,2,,
heart,left,,back,1,heart-left--back-01,-16.430374,-421.480531,5524.599822,3,,
heart,left,,back,1,heart-left--back-01,-19.017165,-403.977375,5552.849762,4,,
heart,left,,back,1,heart-left--back-01,-21.603956,-386.474219,5581.099703,5,,
heart,left,,back,1,heart-left--back-01,-24.190748,-368.971063,5609.349644,6,,
heart,left,,back,1,heart-left--back-01,-26.777539,-351.467906,5637.599584,7,,
heart,left,,back,1,heart-left--back-01,-29.36433,-333.96475,5665.849525,8,,
heart,left,,back,1,heart-left--back-01,-31.951122,-316.461594,5694.099465,9,,
heart,left,,back,1,heart-left--back-01,-34.537913,-298.958438,5722.349406,10,,
heart,left,,back,1,heart-left--back-01,-37.124704,-281.455281,5750.599347,11,,
heart,left,,back,1,heart-left--back-01,-39.711495,-263.952125,5778.849287,12,,
heart,left,,back,1,heart-left--back-01,-40.859798,-233.841626,5791.13535,13,,
heart,left,,back,1,heart-left--back-01,-41.827526,-202.148523,5801.417464,14,,
heart,left,,back,1,heart-left--back-01,-42.795254,-170.45542,5811.699577,15,,
heart,left,,back,1,heart-left--back-01,-43.762983,-138.762318,5821.981691,16,,
heart,left,,back,1,heart-left--back-01,-44.730711,-107.069215,5832.263804,17,,
heart,left,,back,1,heart-left--back-01,-45.698439,-75.376112,5842.545918,18,,
heart,left,,back,1,heart-left--back-01,-46.666168,-43.68301,5852.828031,19,,
heart,left,,back,1,heart-left--back-01,-47.633896,-11.989907,5863.110145,20,,
heart,left,,back,2,heart-left--back-02,-23,-472,5448,0,,
heart,left,,back,2,heart-left--back-02,-26.820706,-455.335217,5476.614652,1,,
heart,left,,back,2,heart-left--back-02,-30.641413,-438.670434,5505.229304,2,,
heart,left,,back,2,heart-left--back-02,-34.462119,-422.00565,5533.843956,3,,
heart,left,,back,2,heart-left--back-02,-38.282826,-405.340867,5562.458608,4,,
heart,left,,back,2,heart-left--back-02,-42.103532,-388.676084,5591.073261,5,,
heart,left,,back,2,heart-left--back-02,-45.924238,-372.011301,5619.687913,6,,
heart,left,,back,2,heart-left--back-02,-49.744945,-355.346518,5648.302565,7,,
heart,left,,back,2,heart-left--back-02,-53.565651,-338.681735,5676.917217,8,,
heart,left,,back,2,heart-left--back-02,-57.386358,-322.016951,5705.531869,9,,
heart,left,,back,2,heart-left--back-02,-61.207064,-305.352168,5734.146521,10,,
heart,left,,back,2,heart-left--back-02,-65.02777,-288.687385,5762.761173,11,,
heart,left,,back,2,heart-left--back-02,-68.848477,-272.022602,5791.375825,12,,
heart,left,,back,2,heart-left--back-02,-70.984,-245.105995,5807.872002,13,,
heart,left,,back,2,heart-left--back-02,-72.392512,-213.766607,5819.140096,14,,
heart,left,,back,2,heart-left--back-02,-73.801024,-182.427219,5830.408191,15,,
heart,left,,back,2,heart-left--back-02,-75.209536,-151.087831,5841.676286,16,,
heart,left,,back,2,heart-left--back-02,-76.618048,-119.748443,5852.94438,17,,
heart,left,,back,2,heart-left--back-02,-78.026559,-88.409055,5864.212475,18,,
heart,left,,back,2,heart-left--back-02,-79.435071,-57.069666,5875.480569,19,,
heart,left,,back,2,heart-left--back-02,-80.843583,-25.730278,5886.748664,20,,
heart,left,,back,3,heart-left--back-03,-41,-470,5454,0,,
heart,left,,back,3,heart-left--back-03,-47.540045,-455.018734,5483.049967,1,,
heart,left,,back,3,heart-left--back-03,-54.08009,-440.037468,5512.099934,2,,
heart,left,,back,3,heart-left--back-03,-60.620135,-425.056203,5541.149902,3,,
heart,left,,back,3,heart-left--back-03,-67.16018,-410.074937,5570.199869,4,,
heart,left,,back,3,heart-left--back-03,-73.700225,-395.093671,5599.249836,5,,
heart,left,,back,3,heart-left--back-03,-80.24027,-380.112405,5628.299803,6,,
heart,left,,back,3,heart-left--back-03,-86.780315,-365.131139,5657.349771,7,,
heart,left,,back,3,heart-left--back-03,-93.32036,-350.149873,5686.399738,8,,
heart,left,,back,3,heart-left--back-03,-99.860405,-335.168608,5715.449705,9,,
heart,left,,back,3,heart-left--back-03,-106.40045,-320.187342,5744.499672,10,,
heart,left,,back,3,heart-left--back-03,-112.940495,-305.206076,5773.54964,11,,
heart,left,,back,3,heart-left--back-03,-119.48054,-290.22481,5802.599607,12,,
heart,left,,back,3,heart-left--back-03,-126.020585,-275.243544,5831.649574,13,,
heart,left,,back,3,heart-left--back-03,-129.487564,-246.880579,5846.71566,14,,
heart,left,,back,3,heart-left--back-03,-132.413272,-216.160643,5859.318711,15,,
heart,left,,back,3,heart-left--back-03,-135.33898,-185.440707,5871.921761,16,,
heart,left,,back,3,heart-left--back-03,-138.264688,-154.720771,5884.524812,17,,
heart,left,,back,3,heart-left--back-03,-141.190397,-124.000836,5897.127862,18,,
heart,left,,back,3,heart-left--back-03,-144.116105,-93.2809,5909.730913,19,,
heart,left,,back,3,heart-left--back-03,-147.041813,-62.560964,5922.333964,20,,
heart,left,,back,3,heart-left--back-03,-149.967521,-31.841028,5934.937014,21,,
heart,left,,back,3,heart-left--back-03,-152.893229,-1.121092,5947.540065,22,,
heart,left,,back,4,heart-left--back-04,-56,-470,5455,0,,
