stripId,ppGroup,ppStrip,stripLength,indexOffset,reverse
root-left-inside-back-01,1,1,38,0,0
root-left-outside-back-01,1,1,68,38,1
root-left-outside-back-04,1,1,68,106,0
root-left-outside-front-04,1,1,68,174,1
root-left-outside-front-01,1,1,68,242,0
root-left-inside-front-01,1,1,38,310,1
root-left-inside-back-02,1,2,38,0,0
root-left-outside-back-02,1,2,68,38,1
root-left-outside-back-05,1,2,68,106,0
root-left-outside-front-05,1,2,68,174,1
root-left-outside-front-02,1,2,68,242,0
root-left-inside-front-02,1,2,38,310,1
root-left-inside-back-03,1,3,38,0,0
root-left-outside-back-03,1,3,68,38,1
root-left-outside-back-06,1,3,68,106,0
root-left-outside-front-06,1,3,68,174,1
root-left-outside-front-03,1,3,68,242,0
root-left-inside-front-03,1,3,38,310,1
,,,,,
root-right-inside-back-01,2,1,38,0,0
root-right-outside-back-01,2,1,68,38,1
root-right-outside-back-04,2,1,68,106,0
root-right-outside-front-04,2,1,68,174,1
root-right-outside-front-01,2,1,68,242,0
root-right-inside-front-01,2,1,38,310,1
root-right-inside-back-02,2,2,38,0,0
root-right-outside-back-02,2,2,68,38,1
root-right-outside-back-05,2,2,68,106,0
root-right-outside-front-05,2,2,68,174,1
root-right-outside-front-02,2,2,68,242,0
root-right-inside-front-02,2,2,38,310,1
root-right-inside-back-03,2,3,38,0,0
root-right-outside-back-03,2,3,68,38,1
root-right-outside-back-06,2,3,68,106,0
root-right-outside-front-06,2,3,68,174,1
root-right-outside-front-03,2,3,68,242,0
root-right-inside-front-03,2,3,38,310,1
,,,,,
heart-left--back-01,5,1,18,0,0
heart-left--front-01,5,1,12,18,1
heart-left--front-02,5,1,9,30,0
heart-left--back-02,5,1,21,39,1
heart-left--back-03,5,1,21,60,0
heart-left--front-03,5,1,17,81,1
heart-left--front-04,5,1,12,98,0
heart-left--back-04,5,1,26,110,1
heart-left--back-05,5,1,24,136,0
heart-left--front-05,5,1,14,160,1
heart-left--front-06,5,1,15,174,0
heart-left--back-06,5,1,23,189,1
heart-left--back-07,5,1,24,212,0
heart-left--front-07,5,1,21,236,1
heart-left--front-08,5,1,18,257,0
heart-left--back-08,5,1,20,275,1
heart-left--back-09,5,1,27,295,0
heart-left--front-09,5,1,18,322,1
heart-left--front-10,5,2,24,21,1
heart-left--back-10,5,2,21,0,0
heart-left--back-11,5,2,35,63,1
heart-left--front-11,5,2,18,45,0
heart-left--front-12,5,2,23,128,1
heart-left--back-12,5,2,30,98,0
heart-left--back-13,5,2,32,172,1
heart-left--front-13,5,2,21,151,0
heart-left--front-14,5,2,26,231,1
heart-left--back-14,5,2,27,204,0
heart-left--back-15,5,2,32,293,1
heart-left--front-15,5,2,36,257,0
heart-left--front-16,5,2,21,349,1
heart-left--back-16,5,2,24,325,0
heart-left--back-17,5,3,27,0,0
heart-left--front-17,5,3,26,27,1
heart-left--front-18,5,3,21,53,0
heart-left--back-18,5,3,24,74,1
heart-left--back-19,5,3,30,98,0
heart-left--front-19,5,3,23,128,1
heart-left--front-20,5,3,21,151,0
heart-left--back-20,5,3,24,172,1
heart-left--back-21,5,3,30,196,0
heart-left--front-21,5,3,23,226,1
heart-left--front-22,5,3,21,249,0
heart-left--back-22,5,3,32,270,1
heart-left--back-23,5,3,24,302,0
heart-left--front-23,5,3,21,326,1
heart-left--front-24,5,4,21,24,1
heart-left--back-24,5,4,24,0,0
heart-left--back-25,5,4,32,66,1
heart-left--front-25,5,4,21,45,0
heart-left--front-26,5,4,26,125,1
heart-left--back-26,5,4,27,98,0
heart-left--back-27,5,4,24,172,1
heart-left--front-27,5,4,21,151,0
heart-left--front-28,5,4,26,223,1
heart-left--back-28,5,4,27,196,0
heart-left--back-29,5,4,24,270,1
heart-left--front-29,5,4,21,249,0
heart-left--front-30,5,4,23,324,1
heart-left--back-30,5,4,30,294,0
heart-left--back-31,5,5,24,0,0
heart-left--front-31,5,5,21,24,1
heart-left--front-32,5,5,36,45,0
heart-left--back-32,5,5,39,81,1
heart-left--back-33,5,5,24,120,0
heart-left--front-33,5,5,21,144,1
heart-left--front-34,5,5,18,165,0
heart-left--back-34,5,5,27,183,1
heart-left--back-35,5,5,24,210,0
heart-left--front-35,5,5,21,234,1
heart-left--front-36,5,5,18,255,0
heart-left--back-36,5,5,27,273,1
heart-left--back-37,5,5,24,300,0
heart-left--front-37,5,5,21,324,1
heart-left--front-38,5,6,24,21,1
heart-left--back-38,5,6,21,0,0
heart-left--back-39,5,6,27,63,1
heart-left--front-39,5,6,18,45,0
heart-left--front-40,5,6,21,114,1
heart-left--back-40,5,6,24,90,0
heart-left--back-41,5,6,27,153,1
heart-left--front-41,5,6,18,135,0
heart-left--front-42,5,6,20,198,1
heart-left--back-42,5,6,18,180,0
heart-left--back-43,5,6,30,233,1
heart-left--front-43,5,6,15,218,0
heart-left--front-44,5,6,21,287,1
heart-left--back-44,5,6,24,263,0
heart-left--back-45,5,6,23,323,1
heart-left--front-45,5,6,15,308,0
heart-left--front-46,5,7,17,21,1
heart-left--back-46,5,7,21,0,0
heart-left--back-47,5,7,33,50,1
heart-left--front-47,5,7,12,38,0
heart-left--front-48,5,7,18,110,1
heart-left--back-48,5,7,27,83,0
heart-left--back-49,5,7,26,140,1
heart-left--front-49,5,7,12,128,0
heart-left--front-50,5,7,15,196,1
heart-left--back-50,5,7,30,166,0
heart-left--back-51,5,7,36,220,1
heart-left--front-51,5,7,9,211,0
heart-left--front-52,5,8,15,30,1
heart-left--back-52,5,8,30,0,0
heart-left--back-53,5,8,36,54,1
heart-left--front-53,5,8,9,45,0
heart-left--front-54,5,8,15,120,1
heart-left--back-54,5,8,30,90,0
heart-left--back-55,5,8,36,144,1
heart-left--front-55,5,8,9,135,0
heart-left--front-56,5,8,15,210,1
heart-left--back-56,5,8,30,180,0
